input_text,target_text
sorry I can't make it to the meeting,"I apologize, but I will not be able to attend the meeting."
got ur msg. will reply soon,I received your message and will respond shortly.
"hey, send me the file asap!",Could you please send me the file as soon as possible?
"can't attend class today, not feeling well",I will not be able to attend class today as I am feeling unwell.
lemme know when you're free,Please let me know when you are available.
u coming to the party?,Are you planning to attend the party?
i'll be late 2day,I will be arriving late today.
pls find the doc attached,Please find the document attached.
gr8 job on the project!,Excellent work on the project!
"need help with the code, it's not working",I need assistance with the code as it is currently not functioning.
sorry I can't make it to the meeting,"I apologize, but I will not be able to attend the meeting."
got ur msg. will reply soon,I received your message and will respond shortly.
"hey, send me the file asap!",Could you please send me the file as soon as possible?
"can't attend class today, not feeling well",I will not be able to attend class today as I am feeling unwell.
lemme know when you're free,Please let me know when you are available.
u coming to the party?,Are you planning to attend the party?
i'll be late 2day,I will be arriving late today.
pls find the doc attached,Please find the document attached.
gr8 job on the project!,Excellent work on the project!
"need help with the code, it's not working",I need assistance with the code as it is currently not functioning.
sorry I can't make it to the meeting,"I apologize, but I will not be able to attend the meeting."
got ur msg. will reply soon,I received your message and will respond shortly.
"hey, send me the file asap!",Could you please send me the file as soon as possible?
"can't attend class today, not feeling well",I will not be able to attend class today as I am feeling unwell.
lemme know when you're free,Please let me know when you are available.
u coming to the party?,Are you planning to attend the party?
i'll be late 2day,I will be arriving late today.
pls find the doc attached,Please find the document attached.
gr8 job on the project!,Excellent work on the project!
"need help with the code, it's not working",I need assistance with the code as it is currently not functioning.
sorry I can't make it to the meeting,"I apologize, but I will not be able to attend the meeting."
got ur msg. will reply soon,I received your message and will respond shortly.
"hey, send me the file asap!",Could you please send me the file as soon as possible?
"can't attend class today, not feeling well",I will not be able to attend class today as I am feeling unwell.
lemme know when you're free,Please let me know when you are available.
u coming to the party?,Are you planning to attend the party?
i'll be late 2day,I will be arriving late today.
pls find the doc attached,Please find the document attached.
gr8 job on the project!,Excellent work on the project!
"need help with the code, it's not working",I need assistance with the code as it is currently not functioning.
sorry I can't make it to the meeting,"I apologize, but I will not be able to attend the meeting."
got ur msg. will reply soon,I received your message and will respond shortly.
"hey, send me the file asap!",Could you please send me the file as soon as possible?
"can't attend class today, not feeling well",I will not be able to attend class today as I am feeling unwell.
lemme know when you're free,Please let me know when you are available.
u coming to the party?,Are you planning to attend the party?
i'll be late 2day,I will be arriving late today.
pls find the doc attached,Please find the document attached.
gr8 job on the project!,Excellent work on the project!
"need help with the code, it's not working",I need assistance with the code as it is currently not functioning.
sorry I can't make it to the meeting,"I apologize, but I will not be able to attend the meeting."
got ur msg. will reply soon,I received your message and will respond shortly.
"hey, send me the file asap!",Could you please send me the file as soon as possible?
"can't attend class today, not feeling well",I will not be able to attend class today as I am feeling unwell.
lemme know when you're free,Please let me know when you are available.
u coming to the party?,Are you planning to attend the party?
i'll be late 2day,I will be arriving late today.
pls find the doc attached,Please find the document attached.
gr8 job on the project!,Excellent work on the project!
"need help with the code, it's not working",I need assistance with the code as it is currently not functioning.
sorry I can't make it to the meeting,"I apologize, but I will not be able to attend the meeting."
got ur msg. will reply soon,I received your message and will respond shortly.
"hey, send me the file asap!",Could you please send me the file as soon as possible?
"can't attend class today, not feeling well",I will not be able to attend class today as I am feeling unwell.
lemme know when you're free,Please let me know when you are available.
u coming to the party?,Are you planning to attend the party?
i'll be late 2day,I will be arriving late today.
pls find the doc attached,Please find the document attached.
gr8 job on the project!,Excellent work on the project!
"need help with the code, it's not working",I need assistance with the code as it is currently not functioning.
sorry I can't make it to the meeting,"I apologize, but I will not be able to attend the meeting."
got ur msg. will reply soon,I received your message and will respond shortly.
"hey, send me the file asap!",Could you please send me the file as soon as possible?
"can't attend class today, not feeling well",I will not be able to attend class today as I am feeling unwell.
lemme know when you're free,Please let me know when you are available.
u coming to the party?,Are you planning to attend the party?
i'll be late 2day,I will be arriving late today.
pls find the doc attached,Please find the document attached.
gr8 job on the project!,Excellent work on the project!
"need help with the code, it's not working",I need assistance with the code as it is currently not functioning.
sorry I can't make it to the meeting,"I apologize, but I will not be able to attend the meeting."
got ur msg. will reply soon,I received your message and will respond shortly.
"hey, send me the file asap!",Could you please send me the file as soon as possible?
"can't attend class today, not feeling well",I will not be able to attend class today as I am feeling unwell.
lemme know when you're free,Please let me know when you are available.
u coming to the party?,Are you planning to attend the party?
i'll be late 2day,I will be arriving late today.
pls find the doc attached,Please find the document attached.
gr8 job on the project!,Excellent work on the project!
"need help with the code, it's not working",I need assistance with the code as it is currently not functioning.
sorry I can't make it to the meeting,"I apologize, but I will not be able to attend the meeting."
got ur msg. will reply soon,I received your message and will respond shortly.
"hey, send me the file asap!",Could you please send me the file as soon as possible?
"can't attend class today, not feeling well",I will not be able to attend class today as I am feeling unwell.
lemme know when you're free,Please let me know when you are available.
u coming to the party?,Are you planning to attend the party?
i'll be late 2day,I will be arriving late today.
pls find the doc attached,Please find the document attached.
gr8 job on the project!,Excellent work on the project!
"need help with the code, it's not working",I need assistance with the code as it is currently not functioning.
sorry I can't make it to the meeting,"I apologize, but I will not be able to attend the meeting."
got ur msg. will reply soon,I received your message and will respond shortly.
"hey, send me the file asap!",Could you please send me the file as soon as possible?
"can't attend class today, not feeling well",I will not be able to attend class today as I am feeling unwell.
lemme know when you're free,Please let me know when you are available.
u coming to the party?,Are you planning to attend the party?
i'll be late 2day,I will be arriving late today.
pls find the doc attached,Please find the document attached.
gr8 job on the project!,Excellent work on the project!
"need help with the code, it's not working",I need assistance with the code as it is currently not functioning.
sorry I can't make it to the meeting,"I apologize, but I will not be able to attend the meeting."
got ur msg. will reply soon,I received your message and will respond shortly.
"hey, send me the file asap!",Could you please send me the file as soon as possible?
"can't attend class today, not feeling well",I will not be able to attend class today as I am feeling unwell.
lemme know when you're free,Please let me know when you are available.
u coming to the party?,Are you planning to attend the party?
i'll be late 2day,I will be arriving late today.
pls find the doc attached,Please find the document attached.
gr8 job on the project!,Excellent work on the project!
"need help with the code, it's not working",I need assistance with the code as it is currently not functioning.
sorry I can't make it to the meeting,"I apologize, but I will not be able to attend the meeting."
got ur msg. will reply soon,I received your message and will respond shortly.
"hey, send me the file asap!",Could you please send me the file as soon as possible?
"can't attend class today, not feeling well",I will not be able to attend class today as I am feeling unwell.
lemme know when you're free,Please let me know when you are available.
u coming to the party?,Are you planning to attend the party?
i'll be late 2day,I will be arriving late today.
pls find the doc attached,Please find the document attached.
gr8 job on the project!,Excellent work on the project!
"need help with the code, it's not working",I need assistance with the code as it is currently not functioning.
sorry I can't make it to the meeting,"I apologize, but I will not be able to attend the meeting."
got ur msg. will reply soon,I received your message and will respond shortly.
"hey, send me the file asap!",Could you please send me the file as soon as possible?
"can't attend class today, not feeling well",I will not be able to attend class today as I am feeling unwell.
lemme know when you're free,Please let me know when you are available.
u coming to the party?,Are you planning to attend the party?
i'll be late 2day,I will be arriving late today.
pls find the doc attached,Please find the document attached.
gr8 job on the project!,Excellent work on the project!
"need help with the code, it's not working",I need assistance with the code as it is currently not functioning.
sorry I can't make it to the meeting,"I apologize, but I will not be able to attend the meeting."
got ur msg. will reply soon,I received your message and will respond shortly.
"hey, send me the file asap!",Could you please send me the file as soon as possible?
"can't attend class today, not feeling well",I will not be able to attend class today as I am feeling unwell.
lemme know when you're free,Please let me know when you are available.
u coming to the party?,Are you planning to attend the party?
i'll be late 2day,I will be arriving late today.
pls find the doc attached,Please find the document attached.
gr8 job on the project!,Excellent work on the project!
"need help with the code, it's not working",I need assistance with the code as it is currently not functioning.
sorry I can't make it to the meeting,"I apologize, but I will not be able to attend the meeting."
got ur msg. will reply soon,I received your message and will respond shortly.
"hey, send me the file asap!",Could you please send me the file as soon as possible?
"can't attend class today, not feeling well",I will not be able to attend class today as I am feeling unwell.
lemme know when you're free,Please let me know when you are available.
u coming to the party?,Are you planning to attend the party?
i'll be late 2day,I will be arriving late today.
pls find the doc attached,Please find the document attached.
gr8 job on the project!,Excellent work on the project!
"need help with the code, it's not working",I need assistance with the code as it is currently not functioning.
sorry I can't make it to the meeting,"I apologize, but I will not be able to attend the meeting."
got ur msg. will reply soon,I received your message and will respond shortly.
"hey, send me the file asap!",Could you please send me the file as soon as possible?
"can't attend class today, not feeling well",I will not be able to attend class today as I am feeling unwell.
lemme know when you're free,Please let me know when you are available.
u coming to the party?,Are you planning to attend the party?
i'll be late 2day,I will be arriving late today.
pls find the doc attached,Please find the document attached.
gr8 job on the project!,Excellent work on the project!
"need help with the code, it's not working",I need assistance with the code as it is currently not functioning.
sorry I can't make it to the meeting,"I apologize, but I will not be able to attend the meeting."
got ur msg. will reply soon,I received your message and will respond shortly.
"hey, send me the file asap!",Could you please send me the file as soon as possible?
"can't attend class today, not feeling well",I will not be able to attend class today as I am feeling unwell.
lemme know when you're free,Please let me know when you are available.
u coming to the party?,Are you planning to attend the party?
i'll be late 2day,I will be arriving late today.
pls find the doc attached,Please find the document attached.
gr8 job on the project!,Excellent work on the project!
"need help with the code, it's not working",I need assistance with the code as it is currently not functioning.
sorry I can't make it to the meeting,"I apologize, but I will not be able to attend the meeting."
got ur msg. will reply soon,I received your message and will respond shortly.
"hey, send me the file asap!",Could you please send me the file as soon as possible?
"can't attend class today, not feeling well",I will not be able to attend class today as I am feeling unwell.
lemme know when you're free,Please let me know when you are available.
u coming to the party?,Are you planning to attend the party?
i'll be late 2day,I will be arriving late today.
pls find the doc attached,Please find the document attached.
gr8 job on the project!,Excellent work on the project!
"need help with the code, it's not working",I need assistance with the code as it is currently not functioning.
sorry I can't make it to the meeting,"I apologize, but I will not be able to attend the meeting."
got ur msg. will reply soon,I received your message and will respond shortly.
"hey, send me the file asap!",Could you please send me the file as soon as possible?
"can't attend class today, not feeling well",I will not be able to attend class today as I am feeling unwell.
lemme know when you're free,Please let me know when you are available.
u coming to the party?,Are you planning to attend the party?
i'll be late 2day,I will be arriving late today.
pls find the doc attached,Please find the document attached.
gr8 job on the project!,Excellent work on the project!
"need help with the code, it's not working",I need assistance with the code as it is currently not functioning.
sorry I can't make it to the meeting,"I apologize, but I will not be able to attend the meeting."
got ur msg. will reply soon,I received your message and will respond shortly.
"hey, send me the file asap!",Could you please send me the file as soon as possible?
"can't attend class today, not feeling well",I will not be able to attend class today as I am feeling unwell.
lemme know when you're free,Please let me know when you are available.
u coming to the party?,Are you planning to attend the party?
i'll be late 2day,I will be arriving late today.
pls find the doc attached,Please find the document attached.
gr8 job on the project!,Excellent work on the project!
"need help with the code, it's not working",I need assistance with the code as it is currently not functioning.
sorry I can't make it to the meeting,"I apologize, but I will not be able to attend the meeting."
got ur msg. will reply soon,I received your message and will respond shortly.
"hey, send me the file asap!",Could you please send me the file as soon as possible?
"can't attend class today, not feeling well",I will not be able to attend class today as I am feeling unwell.
lemme know when you're free,Please let me know when you are available.
u coming to the party?,Are you planning to attend the party?
i'll be late 2day,I will be arriving late today.
pls find the doc attached,Please find the document attached.
gr8 job on the project!,Excellent work on the project!
"need help with the code, it's not working",I need assistance with the code as it is currently not functioning.
sorry I can't make it to the meeting,"I apologize, but I will not be able to attend the meeting."
got ur msg. will reply soon,I received your message and will respond shortly.
"hey, send me the file asap!",Could you please send me the file as soon as possible?
"can't attend class today, not feeling well",I will not be able to attend class today as I am feeling unwell.
lemme know when you're free,Please let me know when you are available.
u coming to the party?,Are you planning to attend the party?
i'll be late 2day,I will be arriving late today.
pls find the doc attached,Please find the document attached.
gr8 job on the project!,Excellent work on the project!
"need help with the code, it's not working",I need assistance with the code as it is currently not functioning.
sorry I can't make it to the meeting,"I apologize, but I will not be able to attend the meeting."
got ur msg. will reply soon,I received your message and will respond shortly.
"hey, send me the file asap!",Could you please send me the file as soon as possible?
"can't attend class today, not feeling well",I will not be able to attend class today as I am feeling unwell.
lemme know when you're free,Please let me know when you are available.
u coming to the party?,Are you planning to attend the party?
i'll be late 2day,I will be arriving late today.
pls find the doc attached,Please find the document attached.
gr8 job on the project!,Excellent work on the project!
"need help with the code, it's not working",I need assistance with the code as it is currently not functioning.
sorry I can't make it to the meeting,"I apologize, but I will not be able to attend the meeting."
got ur msg. will reply soon,I received your message and will respond shortly.
"hey, send me the file asap!",Could you please send me the file as soon as possible?
"can't attend class today, not feeling well",I will not be able to attend class today as I am feeling unwell.
lemme know when you're free,Please let me know when you are available.
u coming to the party?,Are you planning to attend the party?
i'll be late 2day,I will be arriving late today.
pls find the doc attached,Please find the document attached.
gr8 job on the project!,Excellent work on the project!
"need help with the code, it's not working",I need assistance with the code as it is currently not functioning.
sorry I can't make it to the meeting,"I apologize, but I will not be able to attend the meeting."
got ur msg. will reply soon,I received your message and will respond shortly.
"hey, send me the file asap!",Could you please send me the file as soon as possible?
"can't attend class today, not feeling well",I will not be able to attend class today as I am feeling unwell.
lemme know when you're free,Please let me know when you are available.
u coming to the party?,Are you planning to attend the party?
